id,titulo,fonte,doi,tipo,autores,departamento,orcids_autores,ano_publicacao,autor_principal,issn,isbn,volume,numero,paginas,editor,keywords,origem,financiador,repositorioIPBeja,apoiosPublicaçao
SCOPUS_ID:85214711845,"The Relationship Between Colour and Sound in a Bachelor in Audiovisual and Multimedia","Springer Series in Design and Innovation",10.1007/978-3-031-77566-6_72,"Book Series","Aldo Manuel Serra Passarinho","Artes H Desporto",0000-0001-6628-4147,2025,"Passarinho A.",26618184,undefined,51,undefined,975-986,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85211772056,"The Expectations Involved in an Audiovisual and Multimedia Degree Internship: Case Study at IPBeja","Springer Series in Design and Innovation",10.1007/978-3-031-73705-3_19,"Book Series","Aldo Manuel Serra Passarinho","Artes H Desporto",0000-0001-6628-4147,2025,"Passarinho A.",26618184,undefined,49,undefined,262-278,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85210556556,"Effect of Different Irrigated Crop Successions on Soil Carbon and Nitrogen–Phosphorus–Potassium Budget Under Mediterranean Conditions","Agriculture (Switzerland)",10.3390/agriculture14111908,Journal,"Alexandra Telo da Costa Trincalhetas Tomaz",Biociências,0000-0001-9129-112X,2024,"Neto C.",undefined,undefined,14,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85189036552,"Agricultural Practices to Improve Irrigation Sustainability","Water (Switzerland)",10.3390/w16060817,Journal,"Alexandra Telo da Costa Trincalhetas Tomaz",Biociências,0000-0001-9129-112X,2024,"Palma P.",undefined,undefined,16,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85185709385,"Water Quality Assessment of a Hydro-Agricultural Reservoir in a Mediterranean Region (Case Study—Lage Reservoir in Southern Portugal)","Water (Switzerland)",10.3390/w16040514,Journal,"Alexandra Telo da Costa Trincalhetas Tomaz",Biociências,0000-0001-9129-112X,2024,"Catarino A.",undefined,undefined,16,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85189308618,"Water and carbon footprints in irrigated vineyards: an on-farm assessment","Irrigation Science",10.1007/s00271-024-00926-6,Journal,"Alexandra Telo da Costa Trincalhetas Tomaz",Biociências,0000-0001-9129-112X,2024,"Tomaz A.",03427188,undefined,undefined,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85159671842,"Effects of Mineral and Organic Fertilization on Forage Maize Yield, Soil Carbon Balance, and NPK Budgets, Under Rainfed Conditions in the Azores Islands (Portugal)","International Journal of Plant Production",10.1007/s42106-023-00250-7,Journal,"Alexandra Telo da Costa Trincalhetas Tomaz",Biociências,0000-0001-9129-112X,2023,"Pacheco C.A.",17356814,undefined,17,undefined,463-475,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85164797870,"Sustainability of High-Density Olive Orchards: Hints for Irrigation Management and Agroecological Approaches","Water (Switzerland)",10.3390/w15132486,Journal,"Alexandra Telo da Costa Trincalhetas Tomaz",Biociências,0000-0001-9129-112X,2023,"Sobreiro J.",undefined,undefined,15,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85140894665,"Insights into the Spatial and Temporal Variability of Soil Attributes in Irrigated Farm Fields and Correlations with Management Practices: A Multivariate Statistical Approach","Water (Switzerland)",10.3390/w14203216,Journal,"Alexandra Telo da Costa Trincalhetas Tomaz",Biociências,0000-0001-9129-112X,2022,"Tomaz A.",undefined,undefined,14,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85116341207,"Yield, technological quality and water footprints of wheat under Mediterranean climate conditions: A field experiment to evaluate the effects of irrigation and nitrogen fertilization strategies","Agricultural Water Management",10.1016/j.agwat.2021.107214,Journal,"Alexandra Telo da Costa Trincalhetas Tomaz",Biociências,0000-0001-9129-112X,2021,"Tomaz A.",03783774,undefined,258,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85118553226,"Applying risk indices to assess and manage soil salinization and sodification in crop fields within a mediterranean hydro-agricultural area","Water (Switzerland)",10.3390/w13213070,Journal,"Alexandra Telo da Costa Trincalhetas Tomaz",Biociências,0000-0001-9129-112X,2021,"Tomaz A.",undefined,undefined,13,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85114173686,"Effects of cover crops and irrigation on 'Tempranillo' grapevine and berry physiology: An experiment under the Mediterranean conditions of Southern Portugal","Oeno One",10.20870/oeno-one.2021.55.3.4629,Journal,"Alexandra Telo da Costa Trincalhetas Tomaz",Biociências,0000-0001-9129-112X,2021,"Tomaz A.",24941271,undefined,55,undefined,191-208,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85120810074,"Rainfall erosivity, soil erodibility and natural water erosion potential in the huambo region, Angola","Journal of Agriculture and Rural Development in the Tropics and Subtropics",10.17170/kobra-202110274964,Journal,"Alexandra Telo da Costa Trincalhetas Tomaz",Biociências,0000-0001-9129-112X,2021,"Meira L.",16129830,undefined,122,undefined,269-278,undefined,,Scopus,N/A,N/A,N/A
