id,titulo,tipo,ano_publicacao,volume,paginas,organizacoes,citacoes,issn,isbn,doi,orcids_autores,autores,origem,keywords
SCOPUS_ID:85211772056,"The Expectations Involved in an Audiovisual and Multimedia Degree Internship: Case Study at IPBeja","Book Series",2025-01-01,49,262-278,N/A,N/A,26618184,undefined,10.1007/978-3-031-73705-3_19,0000-0001-6628-4147,"Aldo Manuel Serra Passarinho",Scopus,
SCOPUS_ID:85210556556,"Effect of Different Irrigated Crop Successions on Soil Carbon and Nitrogen–Phosphorus–Potassium Budget Under Mediterranean Conditions",Journal,2024-11-01,14,undefined,N/A,N/A,undefined,undefined,10.3390/agriculture14111908,0000-0001-9129-112X,"Alexandra Telo da Costa Trincalhetas Tomaz",Ambas,N/A
SCOPUS_ID:85189036552,"Agricultural Practices to Improve Irrigation Sustainability",Journal,2024-03-01,16,undefined,N/A,N/A,undefined,undefined,10.3390/w16060817,0000-0001-9129-112X,"Alexandra Telo da Costa Trincalhetas Tomaz",Ambas,N/A
SCOPUS_ID:85185709385,"Water Quality Assessment of a Hydro-Agricultural Reservoir in a Mediterranean Region (Case Study—Lage Reservoir in Southern Portugal)",Journal,2024-02-01,16,undefined,N/A,N/A,undefined,undefined,10.3390/w16040514,0000-0001-9129-112X,"Alexandra Telo da Costa Trincalhetas Tomaz",Ambas,N/A
SCOPUS_ID:85189308618,"Water and carbon footprints in irrigated vineyards: an on-farm assessment",Journal,2024-01-01,undefined,undefined,N/A,N/A,03427188,undefined,10.1007/s00271-024-00926-6,0000-0001-9129-112X,"Alexandra Telo da Costa Trincalhetas Tomaz",Ambas,N/A
SCOPUS_ID:85159671842,"Effects of Mineral and Organic Fertilization on Forage Maize Yield, Soil Carbon Balance, and NPK Budgets, Under Rainfed Conditions in the Azores Islands (Portugal)",Journal,2023-09-01,17,463-475,N/A,N/A,17356814,undefined,10.1007/s42106-023-00250-7,0000-0001-9129-112X,"Alexandra Telo da Costa Trincalhetas Tomaz",Ambas,N/A
SCOPUS_ID:85164797870,"Sustainability of High-Density Olive Orchards: Hints for Irrigation Management and Agroecological Approaches",Journal,2023-07-01,15,undefined,N/A,N/A,undefined,undefined,10.3390/w15132486,0000-0001-9129-112X,"Alexandra Telo da Costa Trincalhetas Tomaz",Ambas,N/A
SCOPUS_ID:85140894665,"Insights into the Spatial and Temporal Variability of Soil Attributes in Irrigated Farm Fields and Correlations with Management Practices: A Multivariate Statistical Approach",Journal,2022-10-01,14,undefined,N/A,N/A,undefined,undefined,10.3390/w14203216,0000-0001-9129-112X,"Alexandra Telo da Costa Trincalhetas Tomaz",Ambas,N/A
SCOPUS_ID:85116341207,"Yield, technological quality and water footprints of wheat under Mediterranean climate conditions: A field experiment to evaluate the effects of irrigation and nitrogen fertilization strategies",Journal,2021-12-01,258,undefined,N/A,N/A,03783774,undefined,10.1016/j.agwat.2021.107214,0000-0001-9129-112X,"Alexandra Telo da Costa Trincalhetas Tomaz",Ambas,N/A
SCOPUS_ID:85118553226,"Applying risk indices to assess and manage soil salinization and sodification in crop fields within a mediterranean hydro-agricultural area",Journal,2021-11-01,13,undefined,N/A,N/A,undefined,undefined,10.3390/w13213070,0000-0001-9129-112X,"Alexandra Telo da Costa Trincalhetas Tomaz",Ambas,N/A
SCOPUS_ID:85114173686,"Effects of cover crops and irrigation on 'Tempranillo' grapevine and berry physiology: An experiment under the Mediterranean conditions of Southern Portugal",Journal,2021-07-02,55,191-208,N/A,N/A,24941271,undefined,10.20870/oeno-one.2021.55.3.4629,0000-0001-9129-112X,"Alexandra Telo da Costa Trincalhetas Tomaz",Ambas,N/A
