id,titulo,autor_principal,fonte,doi,issn,isbn,volume,numero,paginas,editor,data_publicacao,descricao,palavras_chave,cited_by_count,tipo,article_number,departamento,origem,financiador,afiliacoes,repositorioIPBeja,apoiosPublicacao,autores_artigo,orcid_autores,organizacoes,keywords,citacoes,fonteTitulo,issue,paginasInicio,paginasFim,numeroPaginas
SCOPUS_ID:85214711845,"The Relationship Between Colour and Sound in a Bachelor in Audiovisual and Multimedia","Passarinho A.","Springer Series in Design and Innovation",10.1007/978-3-031-77566-6_72,26618184,,51,,975-986,,2025-01-01,"This article arises from a case study of the bachelor’s degree in Audiovisual and Multimedia at the Polytechnic Institute of Beja (IPBeja) carried out in 2024. The study revealed that colour theory is one of the most influential theories related to audiovisual and multimedia, but there is a perception that colour is strictly linked to the image. This result led to the need for a structured and well-founded connection between colour and sound, producing information that can address the identified perception. Therefore, this article aims to conduct a literature review on the theoretical principles of the relationship between colour and sound and relate it as one of the fundamental principles for a degree in audiovisual and multimedia. For this purpose, a review was carried out on the concept of audiovisual and multimedia, the literature on the mentioned fundamentals, and different ways of relating colour to sound and music. In summary, this research will allow a better understanding of the theory of colour concerning sound in the various curricular units of the bachelor’s degree in Audiovisual and Multimedia at IPBeja, and it can also serve other related research or similar courses.","Audiovisual ; Colour ; Multimedia ; Sound",0,"Capítulo em livro",,"Artes H Desporto",Scopus,N/A,"Instituto Politécnico de Beja (Beja, Portugal)",N/A,N/A,"Aldo Passarinho; Tiago Nunes; Rui Travasso; Teresa Barradas","0000-0001-6628-4147; 0000-0001-9142-7349; 0000-0001-6609-5880; 0000-0001-7745-771X",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SCOPUS_ID:85211772056,"The Expectations Involved in an Audiovisual and Multimedia Degree Internship: Case Study at IPBeja","Passarinho A.","Springer Series in Design and Innovation",10.1007/978-3-031-73705-3_19,26618184,,49,,262-278,,2025-01-01,"This article investigates a case study regarding students, former students, and internal and external supervisors of the Degree in Audiovisual and Multimedia at the Polytechnic Institute of Beja (IPBeja). As a methodology, we opted for an exploratory investigation, adopting a case study as the method and a questionnaire survey as the data collection technique, using a quantitative approach to the research. This data will enable us to list a set of conclusions that will contribute to optimising the degree’s academic curriculum regarding the theoretical-practical and practical-labour functioning of the curricular units. This optimisation also allows for narrowing the gap between academic and professional reality and may serve as a reference for other degrees in audiovisual and media production. In this way, the article carries out a small State of Art, contextualises the study cycle of the case study, raises the investigative question and the objectives, and addresses related terminological definitions, methods, results, and conclusions.","Audiovisual ; Higher Education ; Internship ; Multimedia",0,"Capítulo em livro",,"Artes H Desporto",Scopus,N/A,"Instituto Politécnico de Beja (Beja, Portugal)",N/A,N/A,"Aldo Passarinho; Tiago Nunes; Teresa Barradas; Rui Travasso","0000-0001-6628-4147; 0000-0001-9142-7349; 0000-0001-7745-771X; 0000-0001-6609-5880",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SCOPUS_ID:85210556556,"Effect of Different Irrigated Crop Successions on Soil Carbon and Nitrogen–Phosphorus–Potassium Budget Under Mediterranean Conditions","Neto C.","Agriculture (Switzerland)",10.3390/agriculture14111908,,,14,11,,,2024-11-01,"Sustainability in agroecosystems relies on the optimized use of resources to achieve consistent yields while maintaining or improving soil health. The monitoring of soil quality is crucial when changes from rainfall-fed to irrigated crop systems occur. The objective of this study was to assess the impact of different crop successions in the Mediterranean area under irrigation and different technical practices. The soil nitrogen–phosphorous–potassium (NPK) and soil organic carbon (SOC) balances were observed in four fields with irrigated annual crops in a two-year succession timeframe, namely, sunflower–maize (P1), sunflower–clover (P2), maize–sunflower (P3), and alfalfa–alfalfa (P4). The SOC and nutrient balance, integrating the total irrigation, mineral fertilizers, and exported yield, was calculated for each farm. Except for maize–sunflower succession (P3), all fields presented a negative SOC balance at the end of the two-year crop succession, indicating losses from 2.84 to 4.91 Mg SOC ha−1 y−1. While in N-fixing plants the soil N decreased, in the remaining crops a surplus was observed, possibly leading to future N losses. The continuous depletion of soil P revealed a potential underestimation of this nutrient. Soil K appears to be related to specific crop management practices, namely, crop residue incorporation after harvest. In annual irrigated crops under Mediterranean conditions, crop succession can induce soil fertility degradation if conservation practices are absent.","annual crops ; carbon dynamics ; management practices ; soil macronutrients balance",0,"Artigos em revista",1908,Biociências,Ambas,"ERDF (UIDB/04683/2020) European Regional Development Fund","University of Évora (Evora, Portugal); Faculdade de Ciências e Tecnologia da Universidade Nova de Lisboa (Caparica, Portugal); Instituto Politécnico de Beja (Beja, Portugal)",N/A,N/A,"Cláudia Neto; Adriana Catarino; Justino Sobreiro; José das Dores; Manuel Patanita; Alexandra Tomaz; Patrícia Palma","0000-0002-3046-0556; 0000-0002-4792-3633; 0000-0001-8871-7409; 0000-0001-6077-8752; 0000-0002-2122-9950; 0000-0001-9129-112X; 0000-0002-9719-079X",N/A,N/A,N/A,AGRICULTURE-BASEL,11,,,21
SCOPUS_ID:85189036552,"Agricultural Practices to Improve Irrigation Sustainability","Palma P.","Water (Switzerland)",10.3390/w16060817,,,16,6,,,2024-03-01,,,0,Outro,817,Biociências,Ambas,"FCT (UIDB/04683/2020) Fundação para a Ciência e a Tecnologia","University of Évora (Evora, Portugal); Faculdade de Ciências e Tecnologia da Universidade Nova de Lisboa (Caparica, Portugal); Instituto Politécnico de Beja (Beja, Portugal)",N/A,N/A,"Patrícia Palma; Alexandra Tomaz","0000-0002-9719-079X; 0000-0001-9129-112X",N/A,N/A,N/A,WATER,6,,,5
SCOPUS_ID:85185709385,"Water Quality Assessment of a Hydro-Agricultural Reservoir in a Mediterranean Region (Case Study—Lage Reservoir in Southern Portugal)","Catarino A.","Water (Switzerland)",10.3390/w16040514,,,16,4,,,2024-02-01,"In regions where drought has become a common occurrence for most of the year and where agriculture is the main economic activity, the development of hydro-agricultural systems has made it possible to improve water management. Despite this, the intensification of agriculture combined with climate change leads to a potential decrease in water quality and water management practices are essential to improve agro-environmental sustainability. The aim of this study was to assess the water quality for irrigation and potential ecological status of the reservoir (using support chemical parameters). The results showed biological oxygen demand values above the maximum stipulated for an excellent ecological potential in all sampling periods except April 2018 and December 2020 (with the highest values of 10 mg L−1 O2 in dry periods). Most of the total nitrogen concentrations (TN) surpassed those stipulated for a good ecological potential (0.96 ≤ TN ≤ 2.44 mg L−1 N). In fact, TN and total suspended solids were the main parameters used for water classification. From the perspective of irrigation and according to FAO guidelines regarding infiltration rate, these waters presented light to moderate levels of restrictions. Thus, the results revealed that the decrease in the water quality status and its possible impact on the soil infiltration rate can be related, in part, to the meteorological conditions and to the intensive agricultural practices developed around the drainage basin. Despite that, as the Lage reservoir is part of Brinches–Enxoé hydraulic circuit, the water recirculation is also an important factor that may have affected the results obtained. Furthermore, the experimental design, integrating ecological status, irrigation parameters, and the impact on soil systems; using the same parameters from different perspectives; allowed us to have a global idea of water contamination and its impact on agroecosystems, improving river basin management processes.","Alqueva project ; irrigation water ; potential ecological status ; soil impact",1,"Artigos em revista",514,Biociências,Ambas,"EC (POCI-01-0145-FEDER-007690) European Commission","University of Évora (Evora, Portugal); Faculdade de Ciências e Tecnologia da Universidade Nova de Lisboa (Caparica, Portugal); Instituto Politécnico de Beja (Beja, Portugal)",N/A,N/A,"Adriana Catarino; Inês Martins; Clarisse Mourinha; João Santos; Alexandra Tomaz; Pedro Anastácio; Patrícia Palma","0000-0002-4792-3633; N/A; 0000-0002-4671-9884; 0000-0001-9129-112X; 0000-0003-1808-3847; 0000-0002-9719-079X",N/A,N/A,N/A,WATER,4,,,18
SCOPUS_ID:85189308618,"Water and carbon footprints in irrigated vineyards: an on-farm assessment","Tomaz A.","Irrigation Science",10.1007/s00271-024-00926-6,03427188,,,,,,2024-01-01,"This research aims to contribute to improving water and carbon efficiency in irrigated grapevine production in the dry Mediterranean climate of southern Europe. In regions with water scarcity, irrigation has become a relevant input in viticulture, essential to increase productivity and achieve profits. The joint estimation of the water footprint (WF) and the carbon footprint (CF) can help to comprehensively assess the environmental implications and sustainability associated with water-intensive grapevine cultivation. In this study, the WF and CF, of the farming stage of grapes production, were calculated for three years, in three vineyards located in southern Portugal. Data used for the calculation included meteorological data, irrigation requirements, energy use, fertilizers, and pesticide inputs. The total WF mean value for the study period was 223 m3 ton−1, lower than values found for similar conditions, but the blue component, related to irrigation, was predominant, with a higher proportion (75%) occurring during the driest year. The mean total CF was 98 kg CO2e ton−1; the major contributors were fuel use, fertilizer greenhouse gas emissions, and energy for irrigation. The factor analysis revealed relationships between footprint components, yielding latent variables participated by irrigation water and energy use, pollution loads and agrichemicals use. The examination of trade-offs and/or advantageous relations between footprints and yields showed that seasonal climate conditions play an important role via their effect on the farming practices and the inputs most influential on these indicators, namely: crop water requirement; irrigation volumes; energy for irrigation; fuel consumption; nitrogen and phosphorus fertilization rates.",,1,"Artigos em revista",,Biociências,Ambas,"EC (UIDB/04683/2020) European Commission","University of Évora (Evora, Portugal); Faculdade de Ciências e Tecnologia da Universidade Nova de Lisboa (Caparica, Portugal); Instituto Politécnico de Beja (Beja, Portugal); Centro Operativo e de Tecnologia de Regadio (Beja, Portugal)",N/A,N/A,"Alexandra Tomaz; José Dôres; Inês Martins; Adriana Catarino; Luís Boteta; Marta Santos; Manuel Patanita; Patrícia Palma","N/A; 0000-0001-9129-112X",N/A,N/A,N/A,"IRRIGATION SCIENCE",,,,17
SCOPUS_ID:85159671842,"Effects of Mineral and Organic Fertilization on Forage Maize Yield, Soil Carbon Balance, and NPK Budgets, Under Rainfed Conditions in the Azores Islands (Portugal)","Pacheco C.A.","International Journal of Plant Production",10.1007/s42106-023-00250-7,17356814,,17,3,463-475,,2023-09-01,"Green organic fertilizers can be a valuable option to reduce the use of chemical fertilizers, improve the physical and chemical properties of soil, and promote circular agriculture. The effects of two fertilization schemes, (i) a combination of mineral fertilizers with dairy farm slurry (TA) and (ii) an organic substrate (SO) from green waste (TB), on soil fertility and forage maize (Zea mays L.) yield were studied in an on-farm trial in the Azores Island of S. Miguel (Portugal). For this purpose, soil chemical parameters were evaluated on three sampling dates, forage maize yield and yield components were compared, and the balances of soil carbon (SC), nitrogen (N), phosphorus (P), and potassium (K) were evaluated. The results showed that the maize yield obtained in TB was significantly higher than in TA. The differences in precipitation that occurred over the two years influenced the yield in both treatments. The SC, available P, and pH were significantly higher in TB at every sampling date, mainly in the subsurface layer, and overall enrichment in nitrogen was observed. Despite the need to extend this evaluation over a longer period, the results indicate that the application of SO could be an alternative to conventional mineral fertilization in forage maize in the Azores and in similar cropping systems in regions of temperate insular nature.","Green organic fertilizer ; Nutrients balance ; Slurry ; Soil carbon dynamics ; Zea mays L",4,"Artigos em revista",,Biociências,Ambas,"FCT (No.UIDB/04035/2020) Inova Health System","Instituto Superior de Agronomia, Universidade de Lisboa (Lisbon, Portugal); Faculdade de Ciências e Tecnologia da Universidade Nova de Lisboa (Caparica, Portugal); Instituto Politécnico de Beja (Beja, Portugal); Instituto de Inovação Tecnológica dos Açores (INOVA) (Ponta Delgada, Portugal)",N/A,N/A,"Carlos Arruda Pacheco; André Oliveira; Alexandra Tomaz","N/A; 0000-0001-9129-112X",N/A,N/A,N/A,"INTERNATIONAL JOURNAL OF PLANT PRODUCTION",3,463,475,13
SCOPUS_ID:85140894665,"Insights into the Spatial and Temporal Variability of Soil Attributes in Irrigated Farm Fields and Correlations with Management Practices: A Multivariate Statistical Approach","Tomaz A.","Water (Switzerland)",10.3390/w14203216,,,14,20,,,2022-10-01,"The evaluation of the spatial and temporal variability of soil properties can be valuable to improve crop productivity and soil health. A study of soil properties was carried out in southern Portugal, in three farm fields with irrigated annual crops (layers 0–20 cm and 20–40 cm), over three years. Factor Analysis (FA) and Discriminant Analysis (DA) were used to analyze the data. With FA, the observed variables were grouped into a smaller number of latent variables related to soil attributes. Discriminant Analysis was used to classify and identify the most dominant attributes and indicators for the time and space variability of soil parameters. The FA performed for the surface layer included factors related to texture, water and nutrient retention capacity, chemical composition, and soil fertility. In the sub-surface layer, the factor structure was similar, with four factors related to texture, chemical composition, nutrient availability, and soil fertility. The most influential factors and variables in temporal discrimination (sampling dates) in both layers were those related to chemical composition, with electric conductivity as the preponderant indicator. As for the spatial differentiation (fields), the dominant factor in the surface layer was texture, and in the sub-surface layer, nutrient availability. The most important discriminant indicators of spatial variability were fine sand proportion and available potassium, respectively, for the surface and sub-surface layers. The results obtained showed potential for the multidimensional and integrated assessment of patterns of temporal and spatial variation of soil functions from agricultural practices or soil degradation processes.","agronomical practices ; discriminant analysis ; factor analysis ; irrigation ; soil health ; soil indicators",4,"Artigos em revista",3216,Biociências,Ambas,"EC (UIBD/00616/2020) European Commission","Centro de Química-Vila Real (Vila Real, Portugal); University of Évora (Evora, Portugal); Faculdade de Ciências e Tecnologia da Universidade Nova de Lisboa (Caparica, Portugal); Instituto Politécnico de Beja (Beja, Portugal); Centro Operativo e de Tecnologia de Regadio (Beja, Portugal)",N/A,N/A,"Alexandra Tomaz; Inês Martins; Adriana Catarino; Clarisse Mourinha; José Dôres; Marta Fabião; Luís Boteta; João Coutinho; Manuel Patanita; Patrícia Palma","0000-0001-9129-112X; N/A; 0000-0002-4792-3633; 0000-0002-6303-9549; 0000-0002-9719-079X",N/A,N/A,N/A,WATER,20,,,13
SCOPUS_ID:85116341207,"Yield, technological quality and water footprints of wheat under Mediterranean climate conditions: A field experiment to evaluate the effects of irrigation and nitrogen fertilization strategies","Tomaz A.","Agricultural Water Management",10.1016/j.agwat.2021.107214,03783774,,258,,,,2021-12-01,"The evaluation of the role of different agronomic strategies in achieving sustainable wheat yields under variable Mediterranean climate conditions may involve the use of resource-use indicators that combine productivity and environmental impact. A two-seasons field experiment was conducted in South Portugal to study the effect of water regimes and nitrogen fertilization on wheat yield, grain quality and water use evaluated with water productivity and water footprint indicators. The water regime treatments were full irrigation, supplemental irrigation, and rainfed. Nitrogen fertilizer treatments, including conventional and enhanced efficiency fertilizers (EEF) were distinguished by N splitting and timing over the crop cycle. Contrasting meteorological variables in the two years caused distinct wheat productive responses. Although leading to lower grain yields, supplemental irrigation guaranteed a water productivity similar to full irrigation. The use of EEFs in which 50% of the total nitrogen was applied at the booting phase had a positive significant effect on grain protein content and on dough rheologic properties, indicating that late nitrogen applications benefit the technological quality of wheat. The average total water footprints estimated for the two seasons showed no relevant differences but the partition of the green, blue and grey components in irrigated wheat varied, with an increased importance of blue water consumptive use in the second year of the experiment. In fact, the ratio blue water footprint/green water footprint increased from 0.40 to 2.00 due to higher irrigation requirements. High grey water footprint in rainfed wheat was mostly influenced by lower yields in 2018–2019, and by an advantageous rainfall distribution during the 2017–2018 season. No significant reduction in grey water footprint was observed when using EEFs. A multivariate statistical approach through factor analysis (FA) and multivariate linear regression (MLR) was used to examine the data structure and correlation. FA resulted in three-factor models of yield and water use, yield components and wheat quality, in the first season. In the second, drier, season, variables most related with irrigation water use were clustered in one detached factor. The stepwise MLR pointed to a good prediction capability of water footprints from NDVI measured with proximal sensors at booting, anthesis, maturation and/or tillering.","Factor analysis ; Irrigation water productivity ; Multivariate linear regression ; Nitrogen fertilization ; Water footprint ; Wheat",19,"Artigos em revista",107214,Biociências,Ambas,"EC (0145-FEDER-023262) European Commission","Faculdade de Ciências e Tecnologia da Universidade Nova de Lisboa (Caparica, Portugal); Instituto Politécnico de Beja (Beja, Portugal); Centro Operativo e de Tecnologia de Regadio (Beja, Portugal)",N/A,N/A,"Alexandra Tomaz; José Ferro Palma; Tiago Ramos; Maria Natividade Costa; Elizabete Rosa; Marta Santos; Luís Boteta; José Dôres; Manuel Patanita","N/A; 0000-0001-9129-112X",N/A,N/A,N/A,"AGRICULTURAL WATER MANAGEMENT",,,,14
SCOPUS_ID:85118553226,"Applying risk indices to assess and manage soil salinization and sodification in crop fields within a mediterranean hydro-agricultural area","Tomaz A.","Water (Switzerland)",10.3390/w13213070,,,13,21,,,2021-11-01,"Irrigation-induced or secondary salinization can occur when salts are introduced by irrigation water and accumulate within the root zone due to insufficient leaching. Mediterranean regions are especially susceptible, given the predominant climate and the expanding of irrigation areas. In this study, two indices to assess the risk of salinization (RSA) and sodification (RSO), previously applied at a regional scale, were used in a hydro-agricultural area (AHA) in Southern Portugal, in ten crop fields. Information on climate, irrigation water quality, soil characteristics, and land use was obtained from large databases and from local data. The results revealed the feasibility of using the RSA and RSO indices both on large and smaller scales, seeing as most of the area in the monitored crop fields presented the same risk classes (62% in RSA and 78% in RSO). Deviations were due to the reduction in scores for drainage and, in the case of RSO, the assigned irrigation method based on the land occupation class. Considering that different spatial scales of risk assessment are associated with different objectives and management options, a risk management framework was outlined following a multi-scale perspective for mitigation actions in salt-sensitive areas, ranging from territorial planning to the adoption of on-farm practices that can contribute to the sustainability of irrigated agriculture.","Irrigation areas ; Irrigation water quality ; Risk assessment ; Soil and water management practices ; Soil salinization ; Soil sodification",4,"Artigos em revista",3070,Biociências,Ambas,"EC (UIBD/00616/2020) European Commission","Centro de Química-Vila Real (Vila Real, Portugal); University of Évora (Evora, Portugal); Faculdade de Ciências e Tecnologia da Universidade Nova de Lisboa (Caparica, Portugal); Instituto Politécnico de Beja (Beja, Portugal); Centro Operativo e de Tecnologia de Regadio (Beja, Portugal)",N/A,N/A,"Alexandra Tomaz; Maria João Costa; João Coutinho; José Dôres; Adriana Catarino; Inês Martins; Clarisse Mourinha; Isabel Guerreiro; Maria Margarida Pereira; Marta Fabião; Luís Boteta; Manuel Patanita; Patrícia Palma","N/A; 0000-0001-9129-112X",N/A,N/A,N/A,WATER,21,,,14
