CMJ-1445-2022,"da Costa, LT",---,---,Review,---,"Exploring and exploiting instability","CANCER BIOLOGY & THERAPY",---,---,10.4161/cbt.71,1538-4047,2002,WBS,empty,empty
AAD-2927-2020,"Caeiro, JJ",---,---,Meeting,---,"Mixed exponentials filter for edge detection and the Fredholm integral equation of the first kind","2003 INTERNATIONAL CONFERENCE ON IMAGE PROCESSING, VOL 3, PROCEEDINGS",---,---,undefined,undefined,2003,WBS,empty,empty
AAD-2927-2020,"Caeiro, JJ",---,---,Article,---,"Estimation of anti-bacterial culture activity from digital images","PATTERN RECOGNITION AND IMAGE ANALYSIS, PROCEEDINGS",---,---,undefined,0302-9743,2003,WBS,empty,empty
B-1651-2012,"Barros, JP",---,---,Article,---,"On the use of coloured Petri nets for object-oriented design","APPLICATIONS AND THEORY OF PETRI NETS 2004, PROCEEDINGS",---,---,undefined,0302-9743,2004,WBS,empty,empty
F-8517-2011,"Antunes, CH",---,---,Article,---,"A multiple objective mixed integer linear programming model for power generation expansion planning",ENERGY,---,---,10.1016/j.energy.2003.10.012,0360-5442,2004,WBS,empty,empty
FYY-9408-2022,"Pais, Rui",---,---,Meeting,---,"Portuguese - Japanese picture dictionary","Proceedings of the Ninth IASTED International Conference on Internet and Multimedia Systems and Applications",---,---,undefined,undefined,2005,WBS,empty,empty
FXZ-2487-2022,"Martins, JC",---,---,Meeting,---,"Performance comparison of computational retina models","PROCEEDINGS OF THE FIFTH IASTED INTERNATIONAL CONFERENCE ON VISUALIZATION, IMAGING, AND IMAGE PROCESSING",---,---,undefined,undefined,2005,WBS,empty,empty
D-3783-2009,"Gomes, Luis",---,---,Article,---,"Structuring and composability issues in Petri nets modeling","IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS",---,---,10.1109/TII.2005.844433,1551-3203,2005,WBS,empty,empty
FXZ-2487-2022,"Martins, JC",---,---,Meeting,---,"Parameters identification with the Multiple Model Adaptive Estimation (MMAE) algorithm","Proceedings of the 25th IASTED International Conference on Modelling, Identification, and Control",---,---,undefined,undefined,2006,WBS,empty,empty
DFM-2804-2022,"Martins, Sergio F.",---,---,Meeting,---,"Additive logistic regression applied to retina modelling","2007 IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING, VOLS 1-7",---,---,undefined,1522-4880,2007,WBS,empty,empty
M-2410-2019,"Brito, Isabel Sofia",---,---,Article,---,"Handling Conflicts in Aspectual Requirements Compositions","TRANSACTIONS ON ASPECT-ORIENTED SOFTWARE DEVELOPMENT III",---,---,undefined,0302-9743,2007,WBS,empty,empty
G-2218-2014,"Santos, Joao",---,---,Meeting,---,"Instrumentation Remote Control through Internet with PHP","2008 IEEE INTERNATIONAL CONFERENCE ON VIRTUAL ENVIRONMENTS, HUMAN-COMPUTER INTERFACES AND MEASUREMENT SYSTEMS",---,---,10.1109/VECIMS.2008.4592750,undefined,2008,WBS,empty,empty
HVL-4788-2023,"Agostinho, Sergio",---,---,Meeting,---,"A METADATA-DRIVEN APPROACH FOR ASPECT-ORIENTED REQUIREMENTS ANALYSIS","ICEIS 2008: PROCEEDINGS OF THE TENTH INTERNATIONAL CONFERENCE ON ENTERPRISE INFORMATION SYSTEMS, VOL ISAS-2",---,---,undefined,undefined,2008,WBS,empty,empty
Q-6491-2019,"Costa, Aniko",---,---,Meeting,---,"Petri nets tools framework supporting FPGA-based controller implementations","IECON 2008: 34TH ANNUAL CONFERENCE OF THE IEEE INDUSTRIAL ELECTRONICS SOCIETY, VOLS 1-5, PROCEEDINGS",---,---,undefined,1553-572X,2008,WBS,empty,empty
AAA-6278-2021,"Alvarenga, Nuno",---,---,Article,---,"Estimation of Serpa cheese ripening time using multiple linear regression (MLR) considering rheological, physical and chemical data","JOURNAL OF DAIRY RESEARCH",---,---,10.1017/S0022029908003191,0022-0299,2008,WBS,empty,empty
DMN-1788-2022,"Portugal, J. M.",---,---,Article,---,"Impact of Black Nightshade on Tomato Plant Production and Mathematical Model Fitness","PLANTA DANINHA",---,---,10.1590/S0100-83582009000500003,0100-8358,2009,WBS,empty,empty
DMN-1788-2022,"Portugal, J. M.",---,---,Review,---,"Economic Levels of Weed Injury on Crops: Concepts, Definitions and Calculation Models","PLANTA DANINHA",---,---,10.1590/S0100-83582009000400026,0100-8358,2009,WBS,empty,empty
FXZ-2487-2022,"Martins, Joao",---,---,Article,---,"Neural code metrics: Analysis and application to the assessment of neural models",NEUROCOMPUTING,---,---,10.1016/j.neucom.2008.12.012,0925-2312,2009,WBS,empty,empty
F-6826-2011,"Oliveira, Henrique",---,---,Meeting,---,"AUTOMATIC CRACK DETECTION ON ROAD IMAGERY USING ANISOTROPIC DIFFUSION AND REGION LINKAGE","18TH EUROPEAN SIGNAL PROCESSING CONFERENCE (EUSIPCO-2010)",---,---,undefined,2076-1465,2010,WBS,empty,empty
B-9487-2011,"Machado, Ricardo J.",---,---,Meeting,---,"Scenario-Based Modeling in Industrial Information Systems","DISTRIBUTED, PARALLEL AND BIOLOGICALLY INSPIRED SYSTEMS",---,---,undefined,1868-4238,2010,WBS,empty,empty
