id,titulo,tipo,tiposFonte,fonteTitulo,ano_publicacao,volume,issue,paginas,paginasInicio,paginasFim,numeroPaginas,researcherIds,organizacoes,linkRegistro,linkReferencias,linkRelacionados,citacoes,issn,isbn,doi,keywordsAutor,orcids_autores,departamento,autores,origem
WOS:000168191400009,"Synthesis and fixation of aminocyanines to microcrystalline cellulose using cyanuric chloride as a cross-linking agent",Article,Article,"COLORATION TECHNOLOGY",2001,117,1,43-48,43,48,6,"DYO-3019-2022, FSU-3530-2022, FUX-5035-2022, S-5375-2016",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000168191400009&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000168191400009&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000168191400009&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,1472-3581,undefined,undefined,,,N/A,,WBS
WOS:000176506000001,"Preliminary studies on the use of cyanines as ligands in dye-affinity chromatography of proteins",Article,Article,"COLORATION TECHNOLOGY",2002,118,3,95-99,95,99,5,"DYO-3019-2022, FWK-0136-2022, CRO-0323-2022, L-3104-2014, S-5375-2016",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000176506000001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000176506000001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000176506000001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,1472-3581,undefined,undefined,,,N/A,,WBS
WOS:000174849300001,"Synthesis and spectroscopic characterisation of <i>N</i>-alkyl quaternary ammonium salts typical precursors of cyanines",Article,Article,MOLECULES,2002,7,3,320-330,320,330,11,"DYO-3019-2022, IHK-0375-2023, H-1705-2011, GAI-5603-2022, S-5375-2016",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000174849300001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000174849300001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000174849300001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,1420-3049,undefined,10.3390/70300320,"heterocyclic quaternary ammonium salts, cyanines precursors, spectroscopic characterisation",,N/A,,WBS
WOS:000282550900023,"Rape oil transesterification over heterogeneous catalysts",Article,Article,"FUEL PROCESSING TECHNOLOGY",2010,91,11,1530-1536,1530,1536,7,"GCJ-5992-2022, IDY-4072-2023, DYO-3019-2022, HKP-9020-2023",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000282550900023&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000282550900023&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000282550900023&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,0378-3820,undefined,10.1016/j.fuproc.2010.05.034,"Transesterification, Rape oil, Heterogeneous catalyst, KNO3/CaO catalyst, Methanolysis, Biodiesel characterization",0000-0003-3953-8441,"Tecnologias CAplicadas","Ana Cristina Diniz Vicente Pardal",WBS
WOS:000453392700004,"Exploring the Life-Cycle Model Applied to 'Umbrella Constructs': Destination Image as an Example",Article,Article,"TOURISM RECREATION RESEARCH",2012,37,2,133-143,133,143,11,"AFE-6018-2022, A-5353-2010, H-8361-2019",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000453392700004&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000453392700004&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000453392700004&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,0250-8281,undefined,10.1080/02508281.2012.11081698,"image, destination image, umbrella construct, life-cycle model, evolutionary stages",0000-0001-9140-9722,"Ciências Empresariais","Ana Isabel Barros Pimentel Rodrigues",WBS
WOS:000300740100006,"Transesterification of rapeseed oil in subcritical methanol conditions",Article,Article,"FUEL PROCESSING TECHNOLOGY",2012,94,1,40-46,40,46,7,"GCJ-5992-2022, DYO-3019-2022, HKP-9020-2023",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000300740100006&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000300740100006&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000300740100006&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,0378-3820,undefined,10.1016/j.fuproc.2011.10.018,"Biodiesel, Rapeseed oil, Transesterification, Methanol, Subcritical conditions, Hexane as co-solvent",0000-0003-3953-8441,"Tecnologias CAplicadas","Ana Cristina Diniz Vicente Pardal",WBS
WOS:000300615900051,"Soybean oil transesterification by the use of a microwave flow system",Article,Article,FUEL,2012,95,1,386-393,386,393,8,"GCJ-5992-2022, IDY-4072-2023, HKP-9020-2023, FSV-2406-2022, DYO-3019-2022",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000300615900051&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000300615900051&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000300615900051&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,0016-2361,undefined,10.1016/j.fuel.2011.11.010,"Biodiesel, Microwave, Soybean oil, Transesterification, Flow process",0000-0003-3953-8441,"Tecnologias CAplicadas","Ana Cristina Diniz Vicente Pardal",WBS
WOS:000307692900002,"Transesterification of castor oil under ultrasonic irradiation conditions. Preliminary results",Article,Article,"FUEL PROCESSING TECHNOLOGY",2012,103,undefined,9-15,9,15,7,"GCJ-5992-2022, IDY-4072-2023, DYO-3019-2022",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000307692900002&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000307692900002&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000307692900002&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,0378-3820,undefined,10.1016/j.fuproc.2011.12.033,"Biodiesel, Ultrasonic conditions, Ultrasound bath, Transesterification, Castor oil",0000-0003-3953-8441,"Tecnologias CAplicadas","Ana Cristina Diniz Vicente Pardal",WBS
WOS:000213009000009,"Portfolio as a topological tool to define a professional profile in the area of creative industries",Article,Article,"INTERNATIONAL JOURNAL OF EDUCATION THROUGH ART",2013,9,3,399-410,399,410,12,"DVZ-2467-2022, CNG-3390-2022, GEU-0247-2022, DWX-5918-2022",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000213009000009&DestLinkType=FullRecord&DestApp=WOS_CPL,undefined,undefined,,1743-5234,undefined,10.1386/eta.9.3.399_7,"portfolio, creative industries, higher education, art-based research, a/r/t/ography, visual mapping","0000-0001-6628-4147; 0000-0002-6203-9424","Artes H Desporto","Aldo Manuel Serra Passarinho; Ana Felisbela de Albuquerque Piedade",WBS
WOS:000365627700008,"An improvement to the transesterification process by the use of co-solvents to produce biodiesel",Article,Article,FUEL,2016,166,undefined,51-58,51,58,8,"GCJ-5992-2022, DYO-3019-2022, DWK-3430-2022",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000365627700008&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000365627700008&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=1231231232113&SrcAuth=WosAPI&KeyUT=WOS:000365627700008&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,0016-2361,undefined,10.1016/j.fuel.2015.10.110,"Biodiesel, Transesterification, Rapeseed oil, Co-solvent, Cetane number, Kinetic and thermodynamic analysis",0000-0003-3953-8441,"Tecnologias CAplicadas","Ana Cristina Diniz Vicente Pardal",WBS
