id,titulo,tipo,fonteTitulo,ano_publicacao,mes_publicacao,data_publicacao,volume,issue,paginas,paginasInicio,paginasFim,numeroPaginas,doi,autores_nome,autores_orcid,autor_IpBeja,orcid_autor_IpBeja,departamento,origem,financiador,repositorioIPBeja,apoiosPublicaçao
WOS:000168191400009,"Synthesis and fixation of aminocyanines to microcrystalline cellulose using cyanuric chloride as a cross-linking agent",Article,"COLORATION TECHNOLOGY",2001,undefined,2001-01-01,117,1,43-48,43,48,6,undefined,"Pardal, AC; Ramos, SS; Santos, L; Almeida, P","DYO-3019-2022; FSU-3530-2022; FUX-5035-2022; S-5375-2016",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:000176506000001,"Preliminary studies on the use of cyanines as ligands in dye-affinity chromatography of proteins",Article,"COLORATION TECHNOLOGY",2002,undefined,2002-01-01,118,3,95-99,95,99,5,undefined,"Pardal, AC; Nunes, MJ; Gama, AM; Queiroz, JA; Almeida, P","DYO-3019-2022; FWK-0136-2022; CRO-0323-2022; L-3104-2014; S-5375-2016",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:000174849300001,"Synthesis and spectroscopic characterisation of <i>N</i>-alkyl quaternary ammonium salts typical precursors of cyanines",Article,MOLECULES,2002,MAR,2002-03-01,7,3,320-330,320,330,11,10.3390/70300320,"Pardal, AC; Ramos, SS; Santos, PF; Reis, LV; Almeida, P","DYO-3019-2022; IHK-0375-2023; H-1705-2011; GAI-5603-2022; S-5375-2016",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:000282550900023,"Rape oil transesterification over heterogeneous catalysts",Article,"FUEL PROCESSING TECHNOLOGY",2010,NOV,2010-11-01,91,11,1530-1536,1530,1536,7,10.1016/j.fuproc.2010.05.034,"Encinar, J. M.; Gonzalez, J. F.; Pardal, A.; Martinez, G.","GCJ-5992-2022; IDY-4072-2023; DYO-3019-2022; HKP-9020-2023",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:000300740100006,"Transesterification of rapeseed oil in subcritical methanol conditions",Article,"FUEL PROCESSING TECHNOLOGY",2012,FEB,2012-02-01,94,1,40-46,40,46,7,10.1016/j.fuproc.2011.10.018,"Encinar, J. M.; Pardal, A.; Martinez, G.","GCJ-5992-2022; DYO-3019-2022; HKP-9020-2023",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:000300615900051,"Soybean oil transesterification by the use of a microwave flow system",Article,FUEL,2012,MAY,2012-05-01,95,1,386-393,386,393,8,10.1016/j.fuel.2011.11.010,"Encinar, J. M.; Gonzalez, J. F.; Martinez, G.; Sanchez, N.; Pardal, A.","GCJ-5992-2022; IDY-4072-2023; HKP-9020-2023; FSV-2406-2022; DYO-3019-2022",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:000307692900002,"Transesterification of castor oil under ultrasonic irradiation conditions. Preliminary results",Article,"FUEL PROCESSING TECHNOLOGY",2012,NOV,2012-11-01,103,undefined,9-15,9,15,7,10.1016/j.fuproc.2011.12.033,"Encinar, J. M.; Gonzalez, J. F.; Pardal, A.","GCJ-5992-2022; IDY-4072-2023; DYO-3019-2022",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:000213009000009,"Portfolio as a topological tool to define a professional profile in the area of creative industries",Article,"INTERNATIONAL JOURNAL OF EDUCATION THROUGH ART",2013,OCT,2013-10-01,9,3,399-410,399,410,12,10.1386/eta.9.3.399_7,"Serra Passarinho, Aldo; Velhinho De Sousa, Ana; Caldas Nunes, Tiago; Silva, Viviane","DVZ-2467-2022; CNG-3390-2022; GEU-0247-2022; DWX-5918-2022",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:000365627700008,"An improvement to the transesterification process by the use of co-solvents to produce biodiesel",Article,FUEL,2016,"FEB 15",2016-02-15,166,undefined,51-58,51,58,8,10.1016/j.fuel.2015.10.110,"Encinar, Jose M.; Pardal, Ana; Sanchez, Nuria","GCJ-5992-2022; DYO-3019-2022; DWK-3430-2022",undefined,undefined,N/A,WOS,N/A,N/A,N/A
WOS:000367187100002,"YIELD AND QUALITY RESPONSES OF 'ARAGONEZ' GRAPEVINES UNDER DEFICIT IRRIGATION AND DIFFERENT SOIL MANAGEMENT PRACTICES IN A MEDITERRANEAN CLIMATE",Article,"CIENCIA E TECNICA VITIVINICOLA",2015,undefined,2015-01-01,30,1,9-20,9,20,12,10.1051/ctv/20153001009,"Tomaz, Alexandra; Coleto Martinez, Jose Miguel; Pacheco, Carlos Arruda","I-5402-2019; DES-5836-2022; HHB-6549-2022",undefined,undefined,N/A,WOS,N/A,N/A,N/A
