id,titulo,tipo,fonteTitulo,data_publicacao,volume,issue,paginas,paginasInicio,paginasFim,numeroPaginas,doi,autores_artigo,orcid_autores,departamento,origem,financiador,repositorioIPBeja,apoiosPublicacao
WOS:000367187100002,"YIELD AND QUALITY RESPONSES OF 'ARAGONEZ' GRAPEVINES UNDER DEFICIT IRRIGATION AND DIFFERENT SOIL MANAGEMENT PRACTICES IN A MEDITERRANEAN CLIMATE",Article,"CIENCIA E TECNICA VITIVINICOLA",2015-01-01,30,1,9-20,9,20,12,10.1051/ctv/20153001009,"Alexandra Tomaz; Jose Miguel Coleto Martinez; Carlos Arruda Pacheco",0000-0001-9129-112X,Biociências,WOS,N/A,N/A,N/A
WOS:000404851500009,"Influence of cover cropping on water uptake dynamics in an irrigated Mediterranean vineyard",Article,"IRRIGATION AND DRAINAGE",2017-07-01,66,3,387-395,387,395,9,10.1002/ird.2115,"A. Tomaz; C. A. Pacheco; J. M. Coleto Martinez",0000-0001-9129-112X,Biociências,WOS,N/A,N/A,N/A
WOS:000414873900016,"Water Use and Productivity of Maize-based Cropping Systems in the Alqueva Region (Portugal)",Article,"CEREAL RESEARCH COMMUNICATIONS",2017-12-01,45,4,711-721,711,721,11,10.1556/0806.45.2017.036,"A. Tomaz; M. Patanita; I. Guerreiro; L. Boteta; J. F. Palma",0000-0001-9129-112X,Biociências,WOS,N/A,N/A,N/A
WOS:000790340500023,"Models and Politics of Cares of the Elderly in the Home","Proceedings Paper","GERONTECHNOLOGY, IWOG 2018",2019-01-01,1016,,257-268,257,268,12,10.1007/978-3-030-16028-9_23,"Rogerio Ferrinho Ferreira; Ana Clara Nunes; Ana Maria Canhestro",0000-0002-8514-2264,Saúde,WOS,N/A,N/A,N/A
WOS:000468021100018,"Combined effects of irrigation management and nitrogen fertilization on soft wheat productive responses under Mediterranean conditions","Proceedings Paper","FIRST INTERNATIONAL SCIENTIFIC CONFERENCE ON ECOLOGICAL AND ENVIRONMENTAL ENGINEERING 2018",2019-01-01,86,,,,,4,10.1051/e3sconf/20198600019,"Patricia Oliveira; Manuel Patanita; Jose Dores; Luis Boteta; Jose Ferro Palma; Maria Isabel Patanita; Isabel Guerreiro; Jose Penacho; Maria Natividade Costa; Elizabete Rosa; Alexandra Tomaz",0000-0001-9129-112X,Biociências,WOS,N/A,N/A,N/A
WOS:000498270000075,"Water Regime and Nitrogen Management to Cope with Wheat Yield Variability under the Mediterranean Conditions of Southern Portugal",Article,PLANTS-BASEL,2019-10-01,8,10,,,,15,10.3390/plants8100429,"Manuel Patanita; Alexandra Tomaz; Tiago Ramos; Patricia Oliveira; Luis Boteta; Jose Dores",0000-0001-9129-112X,Biociências,WOS,N/A,N/A,N/A
WOS:000513180900001,"Spatial and temporal dynamics of irrigation water quality under drought conditions in a large reservoir in Southern Portugal",Article,"ENVIRONMENTAL MONITORING AND ASSESSMENT",2020-01-06,192,2,,,,17,10.1007/s10661-019-8048-1,"Alexandra Tomaz; Patricia Palma; Sofia Fialho; Ana Lima; Paula Alvarenga; Miguel Potes; Rui Salgado",0000-0001-9129-112X,Biociências,WOS,N/A,N/A,N/A
WOS:000703480000010,"Effects of cover crops and irrigation on 'Tempranillo' grapevine and berry physiology: an experiment under the Mediterranean conditions of Southern Portugal",Article,"OENO ONE",2021-01-01,55,3,191-208,191,208,18,10.20870/oeno-one.2021.55.3.4629,"Alexandra Tomaz; Jose Coleto Martinez; Carlos Arruda Pacheco",0000-0001-9129-112X,Biociências,WOS,N/A,N/A,N/A
WOS:000707022500007,"Yield, technological quality and water footprints of wheat under Mediterranean climate conditions: A field experiment to evaluate the effects of irrigation and nitrogen fertilization strategies",Article,"AGRICULTURAL WATER MANAGEMENT",2021-12-01,258,,,,,14,10.1016/j.agwat.2021.107214,"Alexandra Tomaz; Jose Ferro Palma; Tiago Ramos; Maria Natividade Costa; Elizabete Rosa; Marta Santos; Luis Boteta; Jose Dores; Manuel Patanita",0000-0001-9129-112X,Biociências,WOS,N/A,N/A,N/A
WOS:000917620900001,"The Development of Research Skills in Nursing Postgraduate Training",Article,"EDUCATION SCIENCES",2022-02-01,12,2,,,,9,10.3390/educsci12020078,"Rogerio Ferreira; Luis Sousa; Cidalia Nobre; Ana Clara Nunes; Cesar Fonseca; Oscar Ferreira; Cristina Lavareda Baixinho",0000-0002-8514-2264,Saúde,WOS,N/A,N/A,N/A
